Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Actor ID","ActorId","reference","18","","","","","","","","Actor","Group","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Elapsed Time in Days","ElapsedTimeInDays","double","","","","7","","","","","","","","True","","",""
"Elapsed Time in Hours","ElapsedTimeInHours","double","","","","7","","","","","","","","True","","",""
"Elapsed Time in Minutes","ElapsedTimeInMinutes","double","","","","8","","","","","","","","True","","",""
"Original Actor ID","OriginalActorId","reference","18","","","","","","","","OriginalActor","Group","","","","",""
"Process Instance ID","ProcessInstanceId","reference","18","","","","","","","","ProcessInstance","ProcessInstance","","","","",""
"Process Instance Workitem ID","Id","id","18","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
