Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Comment Body","CommentBody","textarea","4000","","","","","","","","","","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Idea Comment ID","Id","id","18","","","","","","","","","","","","","",""
"Idea ID","IdeaId","reference","18","","","","","","","","Idea","Idea","","","True","",""
"IsHtml","IsHtml","boolean","","","","","","","","","","","","","","",""
"Name of Creator","CreatorName","string","121","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Up Votes","UpVotes","int","","","","","","","","","","","","True","","",""
"Url of Creator's Profile Photo","CreatorFullPhotoUrl","string","255","","","","","","","","","","","True","","",""
"Url of Creator's Thumbnail Photo","CreatorSmallPhotoUrl","string","255","","","","","","","","","","","True","","",""
"Zone ID","CommunityId","reference","18","","","","","","","","","Community","","True","","",""
