Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Accept Email From","AuthorizedSenders","textarea","4000","","","","","","","","","","","True","True","",""
"Active","IsActive","boolean","","","","","","","","","","","","","True","",""
"Address ID","Id","id","18","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Email address","LocalPart","string","64","","","","","","","","","","","","True","",""
"Email address domain","EmailDomainName","string","255","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Service ID","FunctionId","reference","18","","","","","","","","Function","EmailServicesFunction","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"User ID","RunAsUserId","reference","18","","","","","","","","","User","","","True","",""
