Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Categories","Categories","multipicklist","4099","","","","","","","","","","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Idea Body","Body","textarea","32000","","","","","","","","","","","True","True","",""
"Idea Comment ID","LastCommentId","reference","18","","","","","","","","LastComment","IdeaComment","","True","","",""
"Idea ID","Id","id","18","","","","","","","","","","","","","",""
"Idea ID","ParentIdeaId","reference","18","","","","","","","","ParentIdea","Idea","","True","","",""
"Is Merged","IsMerged","boolean","","","","","","","","","","","","","","",""
"IsHtml","IsHtml","boolean","","","","","","","","","","","","","","",""
"Last Idea Comment Date","LastCommentDate","datetime","","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"Name of Creator","CreatorName","string","121","","","","","","","","","","","True","","",""
"Number of Comments","NumComments","int","","","","","","","","","","","","True","","",""
"Record Type ID","RecordTypeId","reference","18","","","","","","","","RecordType","RecordType","","True","","",""
"Status","Status","picklist","40","","","","","","","","","","","True","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Title","Title","string","255","","","","","","","","","","","","True","",""
"Url of Creator's Profile Photo","CreatorFullPhotoUrl","string","255","","","","","","","","","","","True","","",""
"Url of Creator's Thumbnail Photo","CreatorSmallPhotoUrl","string","255","","","","","","","","","","","True","","",""
"Vote Score","VoteScore","double","","","","18","","","","","","","","True","","",""
"Vote Total","VoteTotal","double","","","","18","","","","","","","","True","","",""
"Zone ID","CommunityId","reference","18","","","","","","","","Community","Community","","","True","",""
