Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Description","Description","textarea","500","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Library ID","Id","id","18","","","","","","","","","","","","","",""
"Name","Name","string","255","","","","","","","","","","","","","",""
"Record Type ID","DefaultRecordTypeId","reference","18","","","","","","","","","RecordType","","True","","",""
"Restrict Content Types","IsRestrictContentTypes","boolean","","","","","","","","","","","","","","",""
"Restrict Linked Content Types","IsRestrictLinkedContentTypes","boolean","","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Tag Model","TagModel","picklist","40","","","","U
G
R
","","","","","","","True","","",""
