Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Author ID","AuthorId","reference","18","","","","","","","","Author","User","","","True","",""
"Body","Body","base64","","","","","","","","","","","","True","True","",""
"Body Length","BodyLength","int","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Description","Description","textarea","255","","","","","","","","","","","True","True","",""
"Document Content Searchable","IsBodySearchable","boolean","","","","","","","","","","","","","","",""
"Document ID","Id","id","18","","","","","","","","","","","","","",""
"Document Name","Name","string","255","","","","","","","","","","","","True","",""
"Document Unique Name","DeveloperName","string","80","","","","","","","","","","","","True","",""
"Externally Available","IsPublic","boolean","","","","","","","","","","","","","True","",""
"File Extension","Type","string","40","","","","","","","","","","","True","True","",""
"Folder ID","FolderId","reference","18","","","","","","","","Folder","Folder","","","True","",""
"Internal Use Only","IsInternalUseOnly","boolean","","","","","","","","","","","","","True","",""
"Keywords","Keywords","string","255","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"MIME Type","ContentType","string","120","","","","","","","","","","","True","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Url","Url","string","255","","","","","","","","","","","True","True","",""
