Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"API Enabled","MaximumPermissionsApiEnabled","boolean","","","","","","","","","","","","","","",""
"Access Chatter For SharePoint","MaximumPermissionsChatterForSharePoint","boolean","","","","","","","","","","","","","","",""
"Access Custom Mobile Apps","MaximumPermissionsCustomMobileAppsAccess","boolean","","","","","","","","","","","","","","",""
"Activate Contracts","MaximumPermissionsActivateContract","boolean","","","","","","","","","","","","","","",""
"Activate Orders","MaximumPermissionsActivateOrder","boolean","","","","","","","","","","","","","","",""
"Allow View Knowledge","MaximumPermissionsAllowViewKnowledge","boolean","","","","","","","","","","","","","","",""
"Assign Permission Sets","MaximumPermissionsAssignPermissionSets","boolean","","","","","","","","","","","","","","",""
"Assign Topics","MaximumPermissionsAssignTopics","boolean","","","","","","","","","","","","","","",""
"Author Apex","MaximumPermissionsAuthorApex","boolean","","","","","","","","","","","","","","",""
"Bulk API Hard Delete","MaximumPermissionsBulkApiHardDelete","boolean","","","","","","","","","","","","","","",""
"Chatter Internal User","MaximumPermissionsChatterInternalUser","boolean","","","","","","","","","","","","","","",""
"Connect Organization to Environment Hub","MaximumPermissionsConnectOrgToEnvironmentHub","boolean","","","","","","","","","","","","","","",""
"Convert Leads","MaximumPermissionsConvertLeads","boolean","","","","","","","","","","","","","","",""
"Create AppExchange Packages","MaximumPermissionsCreatePackaging","boolean","","","","","","","","","","","","","","",""
"Create Dashboard Folders","MaximumPermissionsCreateDashboardFolders","boolean","","","","","","","","","","","","","","",""
"Create Libraries","MaximumPermissionsCreateWorkspaces","boolean","","","","","","","","","","","","","","",""
"Create Report Folders","MaximumPermissionsCreateReportFolders","boolean","","","","","","","","","","","","","","",""
"Create Topics","MaximumPermissionsCreateTopics","boolean","","","","","","","","","","","","","","",""
"Create and Customize Dashboards","MaximumPermissionsCreateCustomizeDashboards","boolean","","","","","","","","","","","","","","",""
"Create and Customize List Views","MaximumPermissionsCreateCustomizeFilters","boolean","","","","","","","","","","","","","","",""
"Create and Customize Reports","MaximumPermissionsCreateCustomizeReports","boolean","","","","","","","","","","","","","","",""
"Create and Own New Chatter Groups","MaximumPermissionsChatterOwnGroups","boolean","","","","","","","","","","","","","","",""
"Create and Set Up Communities","MaximumPermissionsManageNetworks","boolean","","","","","","","","","","","","","","",""
"Create and Share Content Deliveries for Chatter Files","MaximumPermissionsChatterFileLink","boolean","","","","","","","","","","","","","","",""
"Create custom Badge Definitions","MaximumPermissionsCreateWorkBadgeDefinition","boolean","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Customize Application","MaximumPermissionsCustomizeApplication","boolean","","","","","","","","","","","","","","",""
"Delete Activated Contracts","MaximumPermissionsDeleteActivatedContract","boolean","","","","","","","","","","","","","","",""
"Delete Topics","MaximumPermissionsDeleteTopics","boolean","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Deliver Uploaded Files and Personal Content","MaximumPermissionsDistributeFromPersWksp","boolean","","","","","","","","","","","","","","",""
"Developer Name","DeveloperName","string","80","","","","","","","","","","","","","",""
"Download AppExchange Packages","MaximumPermissionsInstallPackaging","boolean","","","","","","","","","","","","","","",""
"Drag-and-Drop Dashboard Builder","MaximumPermissionsCanUseNewDashboardBuilder","boolean","","","","","","","","","","","","","","",""
"Edit Activated Orders","MaximumPermissionsEditActivatedOrders","boolean","","","","","","","","","","","","","","",""
"Edit Case Comments","MaximumPermissionsEditCaseComments","boolean","","","","","","","","","","","","","","",""
"Edit Events","MaximumPermissionsEditEvent","boolean","","","","","","","","","","","","","","",""
"Edit HTML Templates","MaximumPermissionsEditHtmlTemplates","boolean","","","","","","","","","","","","","","",""
"Edit My Dashboards","MaximumPermissionsEditMyDashboards","boolean","","","","","","","","","","","","","","",""
"Edit My Reports","MaximumPermissionsEditMyReports","boolean","","","","","","","","","","","","","","",""
"Edit Opportunity Product Sales Price","MaximumPermissionsEditOppLineItemUnitPrice","boolean","","","","","","","","","","","","","","",""
"Edit Read Only Fields","MaximumPermissionsEditReadonlyFields","boolean","","","","","","","","","","","","","","",""
"Edit Tasks","MaximumPermissionsEditTask","boolean","","","","","","","","","","","","","","",""
"Edit Topics","MaximumPermissionsEditTopics","boolean","","","","","","","","","","","","","","",""
"Email Administration","MaximumPermissionsEmailAdministration","boolean","","","","","","","","","","","","","","",""
"Email-Based Identity Confirmation Option","MaximumPermissionsAllowEmailIC","boolean","","","","","","","","","","","","","","",""
"Enable Work.com","MaximumPermissionsWorkDotComUserPerm","boolean","","","","","","","","","","","","","","",""
"Enable Work.com Calibration","MaximumPermissionsWorkCalibrationUser","boolean","","","","","","","","","","","","","","",""
"Expiration Date","ExpirationDate","date","","","","","","","","","","","","True","","",""
"Export Reports","MaximumPermissionsExportReport","boolean","","","","","","","","","","","","","","",""
"Import Leads","MaximumPermissionsImportLeads","boolean","","","","","","","","","","","","","","",""
"Import Personal Contacts","MaximumPermissionsImportPersonal","boolean","","","","","","","","","","","","","","",""
"Import Solutions","MaximumPermissionsSolutionImport","boolean","","","","","","","","","","","","","","",""
"Insert System Field Values for Chatter Feeds","MaximumPermissionsCanInsertFeedSystemFields","boolean","","","","","","","","","","","","","","",""
"Invite Customers To Chatter","MaximumPermissionsChatterInviteExternalUsers","boolean","","","","","","","","","","","","","","",""
"Knowledge One","MaximumPermissionsAllowUniversalSearch","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
