Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Access Type","CollaborationType","picklist","40","","","","Public
Private
","","","","","","","","True","",""
"Allow Customers","CanHaveGuests","boolean","","","","","","","","","","","","","True","",""
"Announcement ID","AnnouncementId","reference","18","","","","","","","","Announcement","Announcement","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Description","Description","textarea","1000","","","","","","","","","","","True","True","",""
"Group Email","GroupEmail","email","1000","","","","","","","","","","","True","","",""
"Group Id","Id","id","18","","","","","","","","","","","","","",""
"Has Private Fields Access","HasPrivateFieldsAccess","boolean","","","","","","","","","","","","","","",""
"Information","InformationBody","textarea","1000","","","","","","","","","","","True","True","",""
"Information Title","InformationTitle","string","30","","","","","","","","","","","True","True","",""
"Is Archived","IsArchived","boolean","","","","","","","","","","","","","True","",""
"Is Auto Archive Disabled","IsAutoArchiveDisabled","boolean","","","","","","","","","","","","","True","",""
"Last Feed Modified Date","LastFeedModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"Member Count","MemberCount","int","","","","","","","","","","","","True","","",""
"Name","Name","string","40","","","","","","","","","","","","True","",""
"Owner ID","OwnerId","reference","18","","","","","","","","Owner","User","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Url for Thumbnail sized Photo","SmallPhotoUrl","url","1024","","","","","","","","","","","True","","",""
"Url for full-sized Photo","FullPhotoUrl","url","1024","","","","","","","","","","","True","","",""
