Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Account ID","AccountId","reference","18","","","","","","","","Account","Account","","True","True","",""
"Asset ID","Id","id","18","","","","","","","","","","","","","",""
"Asset Name","Name","string","255","","","","","","","","","","","","True","",""
"Competitor Asset","IsCompetitorProduct","boolean","","","","","","","","","","","","","True","",""
"Contact ID","ContactId","reference","18","","","","","","","","Contact","Contact","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Description","Description","textarea","32000","","","","","","","","","","","True","True","",""
"Install Date","InstallDate","date","","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Price","Price","currency","","","","18","","","","","","","","True","True","",""
"Product ID","Product2Id","reference","18","","","","","","","","Product2","Product2","","True","True","",""
"Purchase Date","PurchaseDate","date","","","","","","","","","","","","True","True","",""
"Quantity","Quantity","double","","","","12","","","","","","","","True","True","",""
"Serial Number","SerialNumber","string","80","","","","","","","","","","","True","True","",""
"Status","Status","picklist","40","","","","Shipped
Installed
Registered
Obsolete
Purchased
","","","","","","","True","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Usage End Date","UsageEndDate","date","","","","","","","","","","","","True","True","",""
