Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Allow Download as PDF","PreferencesAllowPDFDownload","boolean","","","","","","","","","","","","","True","",""
"Allow Download in Original Format","PreferencesAllowOriginalDownload","boolean","","","","","","","","","","","","","True","",""
"Allow View in the Browser","PreferencesAllowViewInBrowser","boolean","","","","","","","","","","","","","True","",""
"Content Delivery Expires","PreferencesExpires","boolean","","","","","","","","","","","","","True","",""
"Content Delivery ID","Id","id","18","","","","","","","","","","","","","",""
"Content Delivery Name","Name","string","100","","","","","","","","","","","","True","",""
"Content Delivery Opens Latest Version","PreferencesLinkLatestVersion","boolean","","","","","","","","","","","","","True","",""
"ContentDocument ID","ContentDocumentId","reference","18","","","","","","","","","ContentDocument","","True","","",""
"ContentVersion ID","ContentVersionId","reference","18","","","","","","","","ContentVersion","ContentVersion","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Email when Preview Images are Ready","PreferencesNotifyRndtnComplete","boolean","","","","","","","","","","","","","True","",""
"Expiration Date","ExpiryDate","datetime","","","","","","","","","","","","True","True","",""
"External Link","DistributionPublicUrl","string","256","","","","","","","","","","","True","","",""
"First Viewed","FirstViewDate","datetime","","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Viewed","LastViewDate","datetime","","","","","","","","","","","","True","","",""
"Notify Me of First View or Download","PreferencesNotifyOnVisit","boolean","","","","","","","","","","","","","True","",""
"Owner ID","OwnerId","reference","18","","","","","","","","Owner","User","","","True","",""
"Password","Password","string","36","","","","","","","","","","","True","","",""
"Related Record ID","RelatedRecordId","reference","18","","","","","","","","RelatedRecord","Account","","True","True","",""
"Require Password to Access Content","PreferencesPasswordRequired","boolean","","","","","","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"View Count","ViewCount","int","","","","","","","","","","","","True","","",""
