Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Available Quantity","AvailableQuantity","double","","","","18","","","","","","","","True","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"End Date","EndDate","date","","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Line Description","Description","string","255","","","","","","","","","","","True","True","",""
"List Price","ListPrice","currency","","","","18","","","","","","","","True","","",""
"Order ID","OrderId","reference","18","","","","","","","","Order","Order","","","True","",""
"Order Product ID","Id","id","18","","","","","","","","","","","","","",""
"Order Product Number","OrderItemNumber","string","30","","","","","","","","","","","","","",""
"Original Order Item ID","OriginalOrderItemId","reference","18","","","","","","","","OriginalOrderItem","OrderItem","","True","True","",""
"Price Book Entry ID","PricebookEntryId","reference","18","","","","","","","","PricebookEntry","PricebookEntry","","","True","",""
"Quantity","Quantity","double","","","","18","","","","","","","","","True","",""
"Start Date","ServiceDate","date","","","","","","","","","","","","True","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Unit Price","UnitPrice","currency","","","","18","","","","","","","","True","True","",""
